Year CollectionDate Gene Subtype Syn Distance Outlier
2014 2013.904 1-PB2 H3N2 S 24 no
2014 2014.32 1-PB2 H3N2 S 36 no
2014 2013.871 1-PB2 H3N2 S 38 no
2014 2014.329 1-PB2 H3N2 S 37 no
2014 2013.704 1-PB2 H3N2 S 35 no
2014 2014.082 1-PB2 H3N2 S 30 no
2014 2014 1-PB2 H3N2 S 37 no
2014 2013.518 1-PB2 H3N2 S 36 no
2014 2014.222 1-PB2 H3N2 S 35 no
2014 2013.948 1-PB2 H3N2 S 38 no
2014 2013.811 1-PB2 H3N2 S 27 no
2014 2013.948 1-PB2 H3N2 S 38 no
2014 2014.099 1-PB2 H3N2 S 37 no
2014 2014.153 1-PB2 H3N2 S 39 no
2014 2013.504 1-PB2 H3N2 S 48 no
2014 2014.085 1-PB2 H3N2 S 39 no
2015 2014.97 1-PB2 H3N2 S 39 no
2015 2014.518 1-PB2 H3N2 S 37 no
2015 2014.942 1-PB2 H3N2 S 37 no
2015 2015.09 1-PB2 H3N2 S 40 no
2015 2014.923 1-PB2 H3N2 S 33 no
2015 2015.058 1-PB2 H3N2 S 41 no
2015 2014.789 1-PB2 H3N2 S 37 no
2015 2015.427 1-PB2 H3N2 S 41 no
2015 2014.94 1-PB2 H3N2 S 40 no
2015 2014.953 1-PB2 H3N2 S 38 no
2015 2015.09 1-PB2 H3N2 S 40 no
2015 2015.074 1-PB2 H3N2 S 41 no
2015 2015.038 1-PB2 H3N2 S 42 no
2015 2015.452 1-PB2 H3N2 S 38 no
2015 2015.003 1-PB2 H3N2 S 39 no
2015 2014.978 1-PB2 H3N2 S 40 no
2015 2015.403 1-PB2 H3N2 S 40 no
2015 2014.975 1-PB2 H3N2 S 18 no
2015 2014.973 1-PB2 H3N2 S 32 no
2015 2015.482 1-PB2 H3N2 S 42 no
2015 2015.093 1-PB2 H3N2 S 44 no
2015 2014.973 1-PB2 H3N2 S 37 no
2015 2015.022 1-PB2 H3N2 S 38 no
2015 2014.866 1-PB2 H3N2 S 37 no
2015 2014.962 1-PB2 H3N2 S 39 no
2015 2015.342 1-PB2 H3N2 S 40 no
2015 2015.033 1-PB2 H3N2 S 39 no
2015 2014.929 1-PB2 H3N2 S 37 no
2015 2014.811 1-PB2 H3N2 S 37 no
2015 2015.011 1-PB2 H3N2 S 27 no
2015 2015.063 1-PB2 H3N2 S 44 no
2015 2014.649 1-PB2 H3N2 S 38 no
2015 2015.444 1-PB2 H3N2 S 38 no
2015 2014.592 1-PB2 H3N2 S 39 no
2015 2014.926 1-PB2 H3N2 S 40 no
2015 2015.394 1-PB2 H3N2 S 43 no
2015 2014.803 1-PB2 H3N2 S 39 no
2015 2014.86 1-PB2 H3N2 S 13 yes
2015 2015.068 1-PB2 H3N2 S 39 no
2015 2014.852 1-PB2 H3N2 S 37 no
2015 2014.923 1-PB2 H3N2 S 32 no
2015 2014.748 1-PB2 H3N2 S 39 no
2015 2014.896 1-PB2 H3N2 S 42 no
2015 2015.052 1-PB2 H3N2 S 39 no
2015 2015.375 1-PB2 H3N2 S 41 no
2015 2014.808 1-PB2 H3N2 S 40 no
2015 2014.885 1-PB2 H3N2 S 42 no
2015 2015.132 1-PB2 H3N2 S 42 no
2015 2015.208 1-PB2 H3N2 S 38 no
2015 2014.882 1-PB2 H3N2 S 40 no
2016 2015.797 1-PB2 H3N2 S 39 no
2016 2015.707 1-PB2 H3N2 S 40 no
2016 2016.32 1-PB2 H3N2 S 44 no
2016 2015.723 1-PB2 H3N2 S 39 no
2016 2016.128 1-PB2 H3N2 S 46 no
2016 2016.32 1-PB2 H3N2 S 45 no
2016 2015.589 1-PB2 H3N2 S 39 no
2016 2015.512 1-PB2 H3N2 S 40 no
2016 2015.709 1-PB2 H3N2 S 39 no
2016 2015.97 1-PB2 H3N2 S 42 no
2016 2016.429 1-PB2 H3N2 S 40 no
2016 2015.926 1-PB2 H3N2 S 45 no
2016 2016.107 1-PB2 H3N2 S 42 no
2016 2016.189 1-PB2 H3N2 S 36 no
2016 2015.833 1-PB2 H3N2 S 41 no
2016 2016.243 1-PB2 H3N2 S 43 no
2016 2015.556 1-PB2 H3N2 S 38 no
2016 2015.696 1-PB2 H3N2 S 37 no
2016 2016.339 1-PB2 H3N2 S 45 no
2016 2016.23 1-PB2 H3N2 S 44 no
2016 2015.764 1-PB2 H3N2 S 41 no
2016 2016.044 1-PB2 H3N2 S 40 no
2016 2016.011 1-PB2 H3N2 S 38 no
2016 2016.292 1-PB2 H3N2 S 40 no
2016 2016.303 1-PB2 H3N2 S 41 no
2016 2015.759 1-PB2 H3N2 S 36 no
2016 2015.783 1-PB2 H3N2 S 39 no
2016 2016.219 1-PB2 H3N2 S 44 no
2016 2015.657 1-PB2 H3N2 S 37 no
2016 2015.625 1-PB2 H3N2 S 40 no
2016 2015.693 1-PB2 H3N2 S 38 no
2016 2015.709 1-PB2 H3N2 S 40 no
2016 2016.033 1-PB2 H3N2 S 38 no
2016 2016.06 1-PB2 H3N2 S 40 no
2016 2015.674 1-PB2 H3N2 S 39 no
2016 2016.216 1-PB2 H3N2 S 41 no
2016 2015.586 1-PB2 H3N2 S 41 no
2016 2016.071 1-PB2 H3N2 S 41 no
2016 2016.451 1-PB2 H3N2 S 40 no
2016 2016.085 1-PB2 H3N2 S 42 no
2016 2016.107 1-PB2 H3N2 S 37 no
2016 2015.677 1-PB2 H3N2 S 40 no
2016 2016.224 1-PB2 H3N2 S 34 no
2016 2015.688 1-PB2 H3N2 S 37 no
2016 2015.855 1-PB2 H3N2 S 40 no
2016 2015.805 1-PB2 H3N2 S 39 no
2016 2015.572 1-PB2 H3N2 S 37 no
2016 2016.148 1-PB2 H3N2 S 35 no
2016 2016.238 1-PB2 H3N2 S 45 no
2016 2016.355 1-PB2 H3N2 S 38 no
2017 2016.718 1-PB2 H3N2 S 43 no
2017 2017.367 1-PB2 H3N2 S 42 no
2017 2017.016 1-PB2 H3N2 S 42 no
2017 2017.214 1-PB2 H3N2 S 43 no
2017 2017.022 1-PB2 H3N2 S 42 no
2017 2017.427 1-PB2 H3N2 S 49 no
2017 2017.082 1-PB2 H3N2 S 42 no
2017 2016.872 1-PB2 H3N2 S 41 no
2017 2017.085 1-PB2 H3N2 S 47 no
2017 2016.74 1-PB2 H3N2 S 44 no
2017 2017.425 1-PB2 H3N2 S 43 no
2017 2016.732 1-PB2 H3N2 S 39 no
2017 2017.005 1-PB2 H3N2 S 43 no
2017 2017.041 1-PB2 H3N2 S 43 no
2017 2016.705 1-PB2 H3N2 S 42 no
2017 2017.06 1-PB2 H3N2 S 41 no
2017 2016.995 1-PB2 H3N2 S 39 no
2017 2016.612 1-PB2 H3N2 S 45 no
2017 2016.82 1-PB2 H3N2 S 41 no
2017 2017.323 1-PB2 H3N2 S 48 no
2017 2017.348 1-PB2 H3N2 S 44 no
2017 2017.003 1-PB2 H3N2 S 47 no
2017 2017.362 1-PB2 H3N2 S 47 no
2017 2017.066 1-PB2 H3N2 S 48 no
2017 2017.068 1-PB2 H3N2 S 47 no
