Year CollectionDate Gene Subtype Syn Distance DivPerSite
1985 1985 1-PB2 H3N2 S 83 0.145681780447302
1985 1985 1-PB2 H3N2 S 89 0.156212993491685
1985 1985 1-PB2 H3N2 S 87 0.152702589143558
1988 1988 1-PB2 H3N2 S 88 0.154457791317621
1988 1988 1-PB2 H3N2 S 88 0.154457791317621
1988 1988 1-PB2 H3N2 S 87 0.152702589143558
1988 1988 1-PB2 H3N2 S 91 0.159723397839813
1988 1988 1-PB2 H3N2 S 87 0.152702589143558
1988 1988 1-PB2 H3N2 S 90 0.157968195665749
1988 1988 1-PB2 H3N2 S 96 0.168499408710132
1988 1988 1-PB2 H3N2 S 87 0.152702589143558
1988 1988 1-PB2 H3N2 S 96 0.168499408710132
1988 1988 1-PB2 H3N2 S 89 0.156212993491685
1988 1988 1-PB2 H3N2 S 93 0.163233802187941
1988 1988.164 1-PB2 H3N2 S 91 0.159723397839813
1988 1988.096 1-PB2 H3N2 S 89 0.156212993491685
1994 1993.781 1-PB2 H3N2 S 100 0.175520217406388
1994 1994.066 1-PB2 H3N2 S 100 0.175520217406388
1994 1994 1-PB2 H3N2 S 108 0.189561834798899
1994 1994.036 1-PB2 H3N2 S 99 0.173765015232324
1994 1994.101 1-PB2 H3N2 S 101 0.177275419580452
1994 1994 1-PB2 H3N2 S 93 0.163233802187941
1994 1994.005 1-PB2 H3N2 S 100 0.175520217406388
1994 1994.082 1-PB2 H3N2 S 101 0.177275419580452
1994 1994.025 1-PB2 H3N2 S 100 0.175520217406388
1994 1994.093 1-PB2 H3N2 S 100 0.175520217406388
1994 1994.107 1-PB2 H3N2 S 99 0.173765015232324
1994 1994.123 1-PB2 H3N2 S 101 0.177275419580452
1994 1994 1-PB2 H3N2 S 93 0.163233802187941
1994 1994.016 1-PB2 H3N2 S 100 0.175520217406388
1994 1994.11 1-PB2 H3N2 S 100 0.175520217406388
1994 1994.044 1-PB2 H3N2 S 100 0.175520217406388
