Year Gene BinFreq NS S ProportionNS NumVariants
within-host 2-PB1 0.01 121 140 0.46360153256705 261
within-host 3-PA 0.01 188 84 0.691176470588235 272
within-host 4-HA 0.01 186 112 0.624161073825503 298
within-host 5-NP 0.01 134 107 0.556016597510373 241
within-host 6-NA 0.01 117 43 0.73125 160
within-host 7-M1 0.01 45 27 0.625 72
within-host 7-M2 0.01 27 10 0.72972972972973 37
within-host 8-NEP 0.01 36 19 0.654545454545455 55
within-host 8-NS1 0.01 66 29 0.694736842105263 95
within-host 1-PB2 0.0316227766016838 91 40 0.694656488549618 131
within-host 2-PB1 0.0316227766016838 22 33 0.4 55
within-host 3-PA 0.0316227766016838 36 49 0.423529411764706 85
within-host 4-HA 0.0316227766016838 37 40 0.480519480519481 77
within-host 5-NP 0.0316227766016838 35 19 0.648148148148148 54
within-host 6-NA 0.0316227766016838 20 18 0.526315789473684 38
within-host 7-M1 0.0316227766016838 8 6 0.571428571428571 14
within-host 7-M2 0.0316227766016838 4 7 0.363636363636364 11
within-host 8-NEP 0.0316227766016838 9 3 0.75 12
within-host 8-NS1 0.0316227766016838 16 9 0.64 25
within-host 1-PB2 0.1 14 18 0.4375 32
within-host 2-PB1 0.1 16 15 0.516129032258065 31
within-host 3-PA 0.1 19 10 0.655172413793103 29
within-host 4-HA 0.1 15 12 0.555555555555556 27
within-host 5-NP 0.1 4 2 0.666666666666667 6
within-host 6-NA 0.1 29 7 0.805555555555556 36
within-host 7-M1 0.1 2 4 0.333333333333333 6
within-host 7-M2 0.1 3 0 1 3
within-host 8-NEP 0.1 3 3 0.5 6
within-host 8-NS1 0.1 5 2 0.714285714285714 7
within-host 1-PB2 0.316227766016838 1 7 0.125 8
within-host 2-PB1 0.316227766016838 0 4 0 4
within-host 3-PA 0.316227766016838 2 3 0.4 5
within-host 4-HA 0.316227766016838 7 6 0.538461538461538 13
within-host 5-NP 0.316227766016838 4 3 0.571428571428571 7
within-host 6-NA 0.316227766016838 7 0 1 7
within-host 7-M1 0.316227766016838 1 1 0.5 2
within-host 7-M2 0.316227766016838 0 0 NA 0
within-host 8-NEP 0.316227766016838 0 0 NA 0
within-host 8-NS1 0.316227766016838 3 1 0.75 4
within-host 1-PB2 0.00316227766016838 378 184 0.672597864768683 562
within-host 2-PB1 0.00316227766016838 278 227 0.550495049504951 505
within-host 3-PA 0.00316227766016838 351 190 0.648798521256932 541
within-host 4-HA 0.00316227766016838 275 188 0.593952483801296 463
within-host 5-NP 0.00316227766016838 198 163 0.548476454293629 361
within-host 6-NA 0.00316227766016838 180 94 0.656934306569343 274
within-host 7-M1 0.00316227766016838 99 88 0.529411764705882 187
within-host 7-M2 0.00316227766016838 31 19 0.62 50
within-host 8-NEP 0.00316227766016838 71 40 0.63963963963964 111
within-host 8-NS1 0.00316227766016838 128 66 0.65979381443299 194
within-host 1-PB2 0.01 143 89 0.616379310344828 232
within-host 2-PB1 0.01 148 138 0.517482517482518 286
within-host 3-PA 0.01 190 106 0.641891891891892 296
within-host 4-HA 0.01 170 113 0.600706713780919 283
within-host 5-NP 0.01 120 124 0.491803278688525 244
within-host 6-NA 0.01 126 45 0.736842105263158 171
within-host 7-M1 0.01 37 24 0.60655737704918 61
within-host 7-M2 0.01 28 12 0.7 40
