MinFreq Project Subtype Sample NumVariants
0 flu-Dinis pdmH1N1 U140243 0
0 flu-Dinis pdmH1N1 U140249 0
0 flu-Dinis pdmH1N1 V140181 0
0 flu-Dinis pdmH1N1 V140187 0
0 flu-Dinis H3N2 U130749 0
0 flu-Dinis H3N2 U131221 0
0 flu-Dinis H3N2 V130747 0
0 flu-Dinis H3N2 V130755 0
0 flu-Debbink H3N2 530 0
0.001 flu-Barbezange H3N2 Barbezange-130 491
0.001 flu-Barbezange H3N2 Barbezange-155 515
0.001 flu-Barbezange H3N2 Barbezange-166 343
0.001 flu-Barbezange H3N2 Barbezange-171 724
0.001 flu-Barbezange H3N2 Barbezange-192 698
0.001 flu-Barbezange H3N2 Barbezange-202 462
0.001 flu-Barbezange H3N2 Barbezange-244 613
